"recipient","pic_seen","site_duration","spend","register"
774,"Spiderman",27.41,16.7,0
775,"Spiderman",29.61,15.3,0
776,"Spiderman",20.01,17.8,0
777,"Captain America",10.8,18.32,0
778,"Spiderman",26.81,11.9,0
779,"Spiderman",23.31,11.3,0
780,"Spiderman",19.61,11.9,0
781,"Spiderman",28.61,16.4,0
782,"Spiderman",22.71,8.5,0
783,"Spiderman",22.61,13.1,0
784,"Ironman",23.7,17.3,1
785,"Spiderman",28.41,13,0
786,"Ironman",21.2,16.6,0
787,"Captain America",11,18.32,1
788,"Ironman",19.4,16.5,0
789,"Ironman",25.9,16.7,1
790,"Captain America",10.8,22.32,0
791,"Spiderman",25.31,12.2,0
792,"Spiderman",22.71,13.8,1
793,"Ironman",25.4,16.3,1
794,"Ironman",25.1,16.6,1
795,"Captain America",10.6,22.82,0
796,"Spiderman",20.51,16.4,0
797,"Spiderman",23.81,14.8,0
798,"Spiderman",27.71,16.1,0
799,"Captain America",10.3,15.92,1
800,"Captain America",10.9,19.22,0
801,"Spiderman",21.41,10.7,0
802,"Spiderman",25.41,13.8,0
803,"Spiderman",22.41,17.4,0
804,"Spiderman",27.11,13.1,0
805,"Captain America",10.9,23.82,1
806,"Spiderman",24.81,12.3,0
807,"Captain America",11.3,18.12,0
808,"Captain America",10.6,18.32,0
809,"Captain America",10.4,17.92,1
810,"Captain America",11.3,18.92,1
811,"Ironman",26.3,16.3,0
812,"Spiderman",20.61,14.6,1
813,"Ironman",26.3,15.7,0
814,"Ironman",24.7,16.6,1
815,"Spiderman",21.51,18.3,0
816,"Ironman",23.1,17.7,1
817,"Captain America",11.1,20.62,0
818,"Captain America",11.1,23.32,0
819,"Spiderman",27.31,13.5,1
820,"Ironman",24.2,16.7,0
821,"Captain America",10.7,17.42,0
822,"Ironman",21.6,17.6,1
823,"Captain America",10.5,16.92,1
824,"Ironman",20.7,17.1,1
825,"Spiderman",20.71,11,1
826,"Captain America",10.9,14.32,0
827,"Captain America",11.1,19.72,0
828,"Captain America",11.3,19.72,0
829,"Captain America",11.2,22.92,0
830,"Captain America",11.7,20.72,0
831,"Spiderman",22.11,11.5,0
832,"Ironman",24.3,16.6,1
833,"Spiderman",25.21,16.6,0
834,"Ironman",19.6,17.9,0
835,"Spiderman",21.81,14.2,0
836,"Ironman",18,16.3,0
837,"Spiderman",25.11,9.8,0
838,"Spiderman",25.31,14.4,0
839,"Captain America",10,23.22,0
840,"Ironman",26.7,17.1,0
841,"Ironman",22.9,17.4,0
842,"Captain America",11.6,20.92,1
843,"Captain America",11.3,17.52,0
844,"Spiderman",29.21,16.9,1
845,"Spiderman",24.61,13.9,0
846,"Ironman",18.8,17.8,1
847,"Spiderman",37.71,17,0
848,"Spiderman",17.71,10.7,0
849,"Spiderman",25.01,11.9,0
850,"Captain America",10.8,17.62,1
851,"Captain America",9.6,18.02,0
852,"Captain America",10.8,15.22,0
853,"Ironman",23,16.9,1
854,"Ironman",25.2,16.5,0
855,"Captain America",11.5,17.22,0
856,"Spiderman",28.01,15.5,1
857,"Captain America",11.1,16.62,0
858,"Captain America",10.8,19.12,0
859,"Captain America",10.9,18.32,0
860,"Spiderman",20.61,13.9,1
861,"Spiderman",26.51,14.6,1
862,"Captain America",10.1,15.52,1
863,"Ironman",23.7,17.4,1
864,"Spiderman",24.41,9.8,0
865,"Ironman",22,15.2,0
866,"Ironman",24.8,15.9,0
867,"Captain America",10.5,20.22,1
868,"Captain America",11,19.02,0
869,"Captain America",11.4,25.62,0
870,"Captain America",11.6,17.72,1
871,"Captain America",11,20.02,1
872,"Spiderman",25.81,11.9,1
873,"Spiderman",20.41,15.9,0
874,"Ironman",24.8,16.8,0
875,"Spiderman",26.51,12,0
876,"Spiderman",18.51,14.3,0
877,"Captain America",10.9,20.42,0
878,"Captain America",10.2,18.92,0
879,"Ironman",22.8,16.6,1
880,"Captain America",11.6,17.12,0
881,"Spiderman",21.71,11.3,0
882,"Captain America",10.2,20.72,0
883,"Ironman",21.4,15.2,1
884,"Spiderman",21.11,12.2,0
885,"Captain America",10.7,18.12,0
886,"Captain America",10.6,15.92,0
887,"Captain America",11.5,19.42,0
888,"Spiderman",22.21,17.8,1
889,"Captain America",10.7,18.72,0
890,"Ironman",25.2,17.8,1
891,"Spiderman",20.41,14.1,1
892,"Ironman",23.3,16.3,0
893,"Captain America",10.9,15.22,1
894,"Spiderman",23.31,10.8,1
895,"Captain America",11.7,17.12,1
896,"Captain America",10.1,20.72,0
897,"Captain America",10.5,20.22,1
898,"Ironman",20.8,16.2,0
899,"Spiderman",28.41,13.2,0
900,"Ironman",23.1,17,1
901,"Spiderman",19.41,18.2,0
902,"Captain America",12,14.32,1
903,"Captain America",11.1,15.12,0
904,"Ironman",24.3,17.6,0
905,"Ironman",22.8,17.6,1
906,"Spiderman",25.91,13.7,1
907,"Ironman",21.7,16.9,0
908,"Ironman",19.4,16.8,1
909,"Ironman",21.5,16.2,1
910,"Ironman",21.4,15.2,1
911,"Ironman",24.7,16.7,1
912,"Captain America",11.3,20.02,0
913,"Captain America",10.7,20.12,0
914,"Captain America",11.9,16.12,0
915,"Spiderman",17.41,14.8,1
916,"Spiderman",28.11,16.6,0
917,"Spiderman",22.71,12.4,0
918,"Spiderman",24.41,14.5,0
919,"Captain America",12.4,18.22,0
920,"Spiderman",29.81,14.7,0
921,"Ironman",26.2,18.1,0
922,"Spiderman",26.41,16.9,0
923,"Ironman",21.6,16.9,0
924,"Ironman",21,16.5,0
925,"Spiderman",24.51,11.5,1
926,"Ironman",25.1,16.8,0
927,"Ironman",24.6,18.4,1
928,"Captain America",11.1,22.52,0
929,"Captain America",11.2,18.62,0
930,"Spiderman",21.01,16.7,0
931,"Captain America",10.8,17.32,1
932,"Spiderman",22.81,14.6,1
933,"Ironman",24.5,16.3,1
934,"Spiderman",25.91,16.4,0
935,"Ironman",24.5,17.1,1
936,"Ironman",22.9,18.2,0
937,"Ironman",22.3,16.4,0
938,"Captain America",10,21.42,0
939,"Spiderman",28.31,15,0
940,"Captain America",10.9,21.72,0
941,"Captain America",10.4,19.92,0
942,"Ironman",22.2,15.4,1
943,"Spiderman",22.81,14.2,1
944,"Ironman",20.7,17.7,0
945,"Ironman",26.6,17.6,0
946,"Ironman",21.7,16.2,1
947,"Ironman",20,16.4,1
948,"Spiderman",20.31,15.5,0
949,"Ironman",23.3,17.1,0
950,"Spiderman",23.81,12.4,0
951,"Spiderman",23.81,13.4,1
952,"Spiderman",18.81,13.7,0
953,"Spiderman",21.11,16.2,0
954,"Spiderman",20.51,12.1,0
955,"Ironman",21.7,16.9,0
956,"Ironman",22.1,16.3,0
957,"Captain America",10.6,15.32,0
958,"Ironman",20.1,16.2,0
959,"Ironman",25.4,17.8,0
960,"Spiderman",30.61,10.9,1
961,"Spiderman",21.71,12.9,1
962,"Captain America",11.8,20.02,1
963,"Captain America",11.2,14.82,0
964,"Ironman",19.8,16.5,1
965,"Ironman",22.8,16.8,1
966,"Ironman",21.1,17.4,1
967,"Spiderman",29.91,15.1,0
968,"Captain America",11.8,18.92,1
969,"Ironman",21,17.3,0
970,"Captain America",11.6,18.82,0
971,"Spiderman",26.21,18.6,1
972,"Captain America",10.8,16.42,0
973,"Captain America",10.5,17.52,1
974,"Spiderman",18.71,15,0
975,"Spiderman",28.41,13.2,1
976,"Spiderman",24.01,15.3,0
977,"Ironman",24.1,16.5,0
978,"Ironman",20.5,17.4,0
979,"Captain America",12.1,18.82,0
980,"Spiderman",14.91,14.5,0
981,"Spiderman",27.31,19.1,1
982,"Ironman",24.2,15.7,0
983,"Ironman",24.8,14.6,0
984,"Spiderman",23.61,15.9,0
985,"Captain America",10.7,20.92,0
986,"Captain America",11.7,21.12,1
987,"Ironman",23.6,16.8,0
988,"Captain America",10.1,20.22,1
989,"Ironman",23.9,15.6,0
990,"Captain America",10.4,20.72,0
991,"Spiderman",23.01,15.9,1
992,"Spiderman",27.41,12.1,0
993,"Captain America",10.8,17.02,1
994,"Spiderman",22.11,15.9,1
995,"Spiderman",24.61,12.5,1
996,"Captain America",11.3,19.32,0
997,"Spiderman",25.91,17.1,1
998,"Spiderman",23.91,16.2,0
999,"Spiderman",26.91,13.8,1
1000,"Spiderman",21.61,13,1
1001,"Spiderman",20.61,13.5,1
1002,"Captain America",10.8,20.42,0
1003,"Ironman",20.7,16.2,1
1004,"Spiderman",26.21,14.9,1
1005,"Ironman",22.4,16.7,0
1006,"Spiderman",29.01,16.5,0
1007,"Spiderman",22.21,9.2,1
1008,"Spiderman",25.51,11.1,0
1009,"Ironman",25.8,16.5,0
1010,"Spiderman",30.71,10.9,0
1011,"Captain America",10.5,21.82,0
1012,"Spiderman",27.01,14.3,0
1013,"Ironman",21.5,14.9,1
1014,"Ironman",24.5,16.3,0
1015,"Spiderman",21.41,11.8,0
1016,"Ironman",26.6,14.8,0
1017,"Captain America",11.2,21.02,0
1018,"Spiderman",35.81,19.5,1
1019,"Captain America",11.1,16.92,1
1020,"Spiderman",30.01,14.2,1
1021,"Spiderman",28.01,12.5,1
1022,"Ironman",23.3,16.4,0
1023,"Captain America",10,21.02,1
1024,"Captain America",10.4,16.82,0
1025,"Ironman",21.6,17.3,0
1026,"Ironman",21.5,17.1,0
1027,"Ironman",24.3,16.6,0
1028,"Captain America",11.8,19.22,0
1029,"Spiderman",19.91,19.4,0
1030,"Spiderman",29.71,14.8,0
1031,"Spiderman",29.71,17.1,1
1032,"Spiderman",24.81,13.2,1
1033,"Captain America",11.5,17.82,1
1034,"Spiderman",25.91,12.4,0
1035,"Captain America",11.2,16.32,0
1036,"Captain America",11.3,15.62,1
1037,"Ironman",20.2,16,1
1038,"Spiderman",27.11,9.8,1
1039,"Spiderman",19.41,16.4,0
1040,"Ironman",24.3,17.8,1
1041,"Ironman",22.5,17.9,1
1042,"Ironman",23.3,17.4,0
1043,"Spiderman",25.81,13.6,0
1044,"Captain America",10.2,18.22,0
1045,"Spiderman",23.81,14.8,0
1046,"Spiderman",26.41,13.4,0
1047,"Ironman",22.2,15.5,1
1048,"Ironman",22.4,16.7,0
1049,"Ironman",22.5,15.5,0
1050,"Ironman",23.5,15.6,0
1051,"Captain America",10.9,16.02,0
1052,"Ironman",20.5,16.2,1
1053,"Ironman",22.5,17.5,1
1054,"Spiderman",26.51,13.6,0
1055,"Spiderman",25.71,11.9,0
1056,"Ironman",24.2,18.5,0
1057,"Captain America",11.3,18.12,1
1058,"Ironman",18.9,18.3,1
1059,"Spiderman",23.41,14.4,0
1060,"Captain America",11.1,15.32,0
1061,"Spiderman",28.31,15.2,0
1062,"Spiderman",28.71,13.4,0
1063,"Spiderman",30.41,13.6,0
1064,"Spiderman",21.11,14.8,0
1065,"Ironman",24.4,16.8,0
1066,"Spiderman",26.81,16.6,0
1067,"Captain America",11.4,20.72,1
1068,"Ironman",21.3,17.7,0
1069,"Ironman",24.8,17.3,1
1070,"Spiderman",18.41,14.9,0
1071,"Captain America",11.9,24.22,0
1072,"Spiderman",21.01,13.6,0
1073,"Ironman",25.6,15.3,0
1074,"Captain America",11.8,16.72,0
1075,"Captain America",10.8,20.42,0
1076,"Ironman",17.1,16.8,1
1077,"Captain America",11.2,15.52,0
1078,"Captain America",11.1,17.82,0
1079,"Ironman",23.5,16.4,0
1080,"Spiderman",19.51,15.7,1
1081,"Ironman",25.3,16.9,1
1082,"Spiderman",27.31,10.7,0
1083,"Spiderman",26.01,11,0
1084,"Captain America",9.9,20.22,1
1085,"Ironman",19.3,16.2,1
1086,"Spiderman",20.51,11.7,1
1087,"Ironman",22.2,17.7,0
1088,"Spiderman",26.61,15.5,0
1089,"Ironman",24.8,16.6,0
1090,"Spiderman",25.61,18,0
1091,"Ironman",24.6,17.8,0
1092,"Spiderman",25.21,15.4,0
1093,"Ironman",24.4,16.8,0
1094,"Ironman",24.3,17.8,1
1095,"Ironman",18.9,15.8,0
1096,"Captain America",11.5,19.82,1
1097,"Spiderman",23.81,12.8,1
1098,"Spiderman",19.61,14.2,0
1099,"Captain America",9.9,14.22,0
1100,"Captain America",10.9,21.82,0
1101,"Captain America",10.3,19.72,0
1102,"Captain America",11.2,17.12,0
1103,"Spiderman",24.31,13.5,0
1104,"Captain America",11.9,22.62,1
1105,"Ironman",27.2,15.6,1
1106,"Spiderman",27.01,13.9,0
1107,"Captain America",11.6,16.62,1
1108,"Spiderman",22.91,12.3,0
1109,"Captain America",11.1,22.42,1
1110,"Ironman",21.4,16.2,0
1111,"Spiderman",26.21,13.9,0
1112,"Ironman",21.7,17.5,0
1113,"Spiderman",22.71,10.7,0
1114,"Ironman",24.2,17,1
1115,"Spiderman",24.31,17.7,0
1116,"Captain America",11.4,19.52,0
1117,"Spiderman",18.11,16.4,0
1118,"Spiderman",25.61,12.1,0
1119,"Captain America",10.8,21.52,0
1120,"Spiderman",27.51,15.3,0
1121,"Spiderman",31.01,11.8,0
1122,"Captain America",11.3,15.12,0
1123,"Spiderman",24.01,12.7,0
1124,"Captain America",10.5,21.12,0
1125,"Captain America",11.1,21.52,1
1126,"Ironman",25.3,16.9,1
1127,"Spiderman",21.81,12.5,0
1128,"Spiderman",25.01,11.7,1
1129,"Captain America",10,18.92,1
1130,"Ironman",24.9,15.2,0
1131,"Spiderman",24.41,13.9,1
1132,"Ironman",21.8,18.1,0
1133,"Spiderman",29.11,13,0
1134,"Spiderman",19.91,18.1,1
1135,"Spiderman",24.71,15.6,1
1136,"Spiderman",22.31,15.1,1
1137,"Ironman",26.3,15.1,0
1138,"Captain America",10.8,19.92,1
1139,"Ironman",20.8,16.5,1
1140,"Ironman",22.4,16.4,1
1141,"Spiderman",23.81,16.4,0
1142,"Captain America",11.6,22.82,0
1143,"Ironman",24.7,16.8,0
1144,"Ironman",22,17.4,0
1145,"Ironman",24.9,17,0
1146,"Spiderman",18.81,11.4,0
1147,"Ironman",25.5,17.8,1
1148,"Captain America",10.7,19.12,0
1149,"Spiderman",22.41,12.1,0
1150,"Captain America",12,19.12,0
1151,"Ironman",24.6,17.2,0
1152,"Spiderman",22.61,15.1,0
1153,"Captain America",11.2,10.42,0
1154,"Captain America",11.1,19.42,0
1155,"Captain America",11,22.92,0
1156,"Captain America",11.7,21.92,1
1157,"Captain America",11,18.02,1
1158,"Captain America",11.3,16.52,1
1159,"Captain America",11,18.32,1
1160,"Ironman",23.5,17.3,1
1161,"Spiderman",27.61,12.7,0
1162,"Ironman",23.1,17.2,1
1163,"Captain America",11.1,17.32,0
1164,"Ironman",19.9,16.2,0
1165,"Ironman",22.1,15.7,0
1166,"Ironman",24.7,14.6,0
1167,"Ironman",25.4,16.2,0
1168,"Captain America",11,17.02,1
1169,"Spiderman",22.91,16.1,1
1170,"Spiderman",29.21,11.9,1
1171,"Ironman",20.5,16.7,1
1172,"Spiderman",27.71,15.4,0
1173,"Ironman",26.9,17.6,0
1174,"Captain America",10.8,16.72,0
1175,"Captain America",11,18.92,0
1176,"Captain America",11.3,20.62,0
1177,"Spiderman",32.81,11,0
1178,"Ironman",19.5,17.6,0
1179,"Ironman",24.7,16.6,0
1180,"Captain America",12.1,20.62,1
1181,"Ironman",21.1,17.4,1
1182,"Ironman",21.4,17.9,0
1183,"Captain America",12,17.02,0
1184,"Spiderman",25.41,17,1
1185,"Ironman",24.4,17.8,1
1186,"Captain America",10.9,21.02,0
1187,"Ironman",20,17.1,0
1188,"Spiderman",20.81,13.2,0
1189,"Spiderman",23.71,17.1,0
1190,"Spiderman",19.81,13,0
1191,"Ironman",21,17.4,1
1192,"Captain America",11.1,19.32,0
1193,"Spiderman",23.81,14.3,1
1194,"Spiderman",23.71,15.5,0
1195,"Spiderman",24.21,17.7,0
1196,"Ironman",21.9,17.8,0
1197,"Spiderman",21.61,14.2,0
1198,"Spiderman",21.01,17.3,0
1199,"Captain America",11,18.22,0
1200,"Captain America",10.6,19.02,0
1201,"Ironman",19.7,17.3,1
1202,"Ironman",22,16.7,1
1203,"Ironman",22.3,14.9,1
1204,"Captain America",10.7,20.32,1
1205,"Captain America",10.7,17.22,0
1206,"Spiderman",22.11,15,0
1207,"Spiderman",22.61,10.7,0
1208,"Ironman",22.7,16.7,1
1209,"Ironman",20.3,17.7,0
1210,"Spiderman",17.31,14.7,0
1211,"Captain America",11.3,17.32,1
1212,"Spiderman",17.21,13.7,0
1213,"Captain America",11.1,19.92,0
1214,"Captain America",11.2,13.62,0
1215,"Ironman",24.7,17.1,1
1216,"Captain America",11.6,15.52,0
1217,"Spiderman",23.41,10,0
1218,"Spiderman",25.01,20.7,1
1219,"Captain America",11.3,26.02,1
1220,"Ironman",22.3,16,0
1221,"Spiderman",14.41,10.6,0
1222,"Spiderman",19.51,14.5,0
1223,"Spiderman",18.31,12.8,1
1224,"Spiderman",19.01,15.1,0
1225,"Spiderman",24.41,14.8,0
1226,"Captain America",10.8,17.92,0
1227,"Captain America",11.5,17.72,0
1228,"Captain America",11.3,22.22,1
1229,"Captain America",10.5,21.22,0
1230,"Captain America",11.4,16.32,0
1231,"Ironman",24.9,15.6,0
1232,"Spiderman",20.31,10.7,0
1233,"Ironman",24.9,18,0
1234,"Ironman",21.9,16.4,0
1235,"Ironman",24.5,17.8,0
1236,"Captain America",11.2,20.92,0
1237,"Ironman",23.6,17.1,0
1238,"Spiderman",17.51,9.6,0
1239,"Captain America",10.2,18.42,0
1240,"Spiderman",25.11,18,0
1241,"Ironman",22.9,16.1,1
1242,"Ironman",21.2,14.8,0
1243,"Spiderman",22.91,13.4,0
1244,"Spiderman",25.21,13.9,0
1245,"Ironman",23.6,17.5,0
1246,"Spiderman",28.21,14.3,0
1247,"Ironman",20.8,16.4,0
1248,"Captain America",11.3,18.82,0
1249,"Spiderman",30.61,11.7,0
1250,"Spiderman",24.51,13.9,1
1251,"Captain America",11.2,12.62,0
1252,"Captain America",11.3,18.82,1
1253,"Ironman",24.7,16,0
1254,"Spiderman",26.61,15.5,1
1255,"Ironman",23.9,17.4,0
1256,"Captain America",11,16.42,1
1257,"Spiderman",27.51,14.9,1
1258,"Ironman",19.6,18,1
1259,"Captain America",10.2,21.72,1
1260,"Ironman",26.1,16.4,0
1261,"Captain America",10.7,19.92,0
1262,"Ironman",25.4,16.6,0
1263,"Ironman",25.4,17.7,0
1264,"Spiderman",25.51,11.1,0
1265,"Spiderman",20.61,16.8,0
1266,"Captain America",10,20.12,0
1267,"Captain America",11,19.32,1
1268,"Captain America",11.5,16.52,0
1269,"Captain America",11.6,18.32,1
1270,"Captain America",10.6,19.32,1
1271,"Captain America",10.7,16.22,0
1272,"Spiderman",23.41,16.3,1
1273,"Spiderman",26.11,14.4,1
1274,"Spiderman",29.01,12.8,1
1275,"Ironman",22.7,16.3,0
1276,"Spiderman",30.31,15.3,1
1277,"Ironman",22,16.7,0
1278,"Spiderman",26.71,10.2,1
1279,"Captain America",11,16.62,1
1280,"Spiderman",31.41,14.2,0
1281,"Captain America",10.4,20.82,0
1282,"Spiderman",26.51,11.3,0
1283,"Captain America",10.1,20.82,0
1284,"Captain America",10.3,18.92,1
1285,"Spiderman",25.21,12.2,0
1286,"Spiderman",32.31,10.8,1
1287,"Ironman",27.9,18.1,0
1288,"Ironman",23.6,17.3,0
1289,"Captain America",11.5,18.62,1
1290,"Captain America",11.2,24.32,1
1291,"Spiderman",22.31,13.2,0
1292,"Spiderman",26.71,12.9,0
1293,"Ironman",23.6,17.5,0
1294,"Ironman",24.3,16.5,0
1295,"Captain America",11.1,17.72,0
1296,"Captain America",10.6,14.32,1
1297,"Captain America",11.7,17.52,0
1298,"Captain America",10.6,25.92,0
1299,"Captain America",10.8,19.82,1
1300,"Spiderman",31.11,14.6,0
1301,"Ironman",22.7,17.4,0
1302,"Spiderman",19.61,15.7,0
1303,"Ironman",24.5,18,1
1304,"Ironman",22.7,16.2,0
1305,"Spiderman",23.61,15.6,0
1306,"Captain America",12,16.22,0
1307,"Spiderman",21.81,17,0
1308,"Ironman",19.7,18.1,0
1309,"Spiderman",21.41,14,1
1310,"Ironman",18.8,17.8,1
1311,"Spiderman",18.71,14.9,1
1312,"Captain America",11.4,16.72,1
1313,"Ironman",22.3,17.7,0
1314,"Captain America",9.9,17.52,1
1315,"Captain America",11.1,20.62,0
1316,"Spiderman",27.01,12.5,0
1317,"Captain America",10.6,21.92,0
1318,"Spiderman",23.51,13.2,0
1319,"Ironman",22.8,17.1,1
1320,"Captain America",10,18.62,0
1321,"Captain America",10.8,17.02,1
1322,"Ironman",21.2,17.1,0
1323,"Ironman",22.4,17.8,0
1324,"Spiderman",29.71,14.2,0
1325,"Ironman",21.9,16.5,0
1326,"Captain America",10.5,18.02,1
1327,"Ironman",21.4,15,0
1328,"Captain America",10.3,14.52,0
1329,"Captain America",10.3,20.62,1
1330,"Spiderman",20.81,11.7,0
1331,"Spiderman",18.71,11.6,1
1332,"Captain America",10.5,15.12,1
1333,"Ironman",22.8,16.3,0
1334,"Spiderman",20.31,12.2,1
1335,"Spiderman",18.51,14.9,0
1336,"Ironman",22.1,15.8,0
1337,"Spiderman",38.51,17.8,0
1338,"Captain America",11.4,17.12,0
1339,"Captain America",11.3,19.92,0
1340,"Spiderman",31.61,15.1,0
1341,"Ironman",22.9,18.2,0
1342,"Captain America",11.7,21.62,0
1343,"Ironman",25.8,17.2,0
1344,"Ironman",22.7,16.7,1
1345,"Ironman",19.5,15.7,0
1346,"Spiderman",25.01,11.9,1
1347,"Captain America",10.8,15.52,1
1348,"Ironman",23,15.3,0
1349,"Spiderman",21.51,13.4,0
1350,"Captain America",10.7,18.32,1
1351,"Spiderman",18.71,13.6,0
1352,"Spiderman",23.61,13.2,0
1353,"Captain America",11.1,17.52,1
1354,"Ironman",21.8,15.7,0
1355,"Spiderman",22.91,15.5,0
1356,"Spiderman",32.51,11.6,1
1357,"Ironman",22,16.5,0
1358,"Ironman",23.9,16.5,0
1359,"Ironman",27.7,15.5,1
1360,"Ironman",23.1,17.8,0
1361,"Ironman",23.6,16.4,1
1362,"Ironman",23,17,1
1363,"Spiderman",27.01,13.8,1
1364,"Spiderman",20.81,14,0
1365,"Captain America",12.1,22.22,0
1366,"Spiderman",25.01,10.8,0
1367,"Ironman",21.7,17.8,1
1368,"Captain America",10.7,19.52,0
1369,"Ironman",25.8,17.9,0
1370,"Spiderman",21.71,12.8,1
1371,"Ironman",23.7,16.9,0
1372,"Captain America",10.8,20.72,1
1373,"Spiderman",20.71,13.6,0
1374,"Ironman",24,16.8,0
1375,"Spiderman",26.21,13.8,1
1376,"Captain America",10.8,19.62,0
1377,"Captain America",11.4,20.32,0
1378,"Ironman",27.1,16.5,0
1379,"Ironman",27.7,16.2,0
1380,"Spiderman",21.01,17.3,0
1381,"Captain America",11.3,21.52,1
1382,"Ironman",25.4,15,0
1383,"Ironman",25.8,15.4,0
1384,"Ironman",21.9,15.9,0
1385,"Captain America",10.8,18.02,0
1386,"Spiderman",19.51,13.4,0
1387,"Spiderman",20.31,17.7,0
1388,"Spiderman",23.71,15.7,0
1389,"Ironman",23.5,18.1,1
1390,"Ironman",19.9,16,0
1391,"Captain America",10.9,17.92,0
1392,"Ironman",27,15.1,0
1393,"Ironman",24.4,16.7,1
1394,"Spiderman",20.81,14.3,1
1395,"Ironman",21.5,18.5,0
1396,"Captain America",11.3,18.82,1
1397,"Spiderman",28.61,14.5,0
1398,"Captain America",11,24.02,0
1399,"Spiderman",22.21,14.5,1
1400,"Spiderman",18.31,15,0
1401,"Spiderman",18.31,12.9,0
1402,"Ironman",20.5,15.8,0
1403,"Ironman",24.8,17,1
1404,"Spiderman",24.21,15.6,1
1405,"Captain America",10.8,17.52,0
1406,"Spiderman",16.21,11.8,1
1407,"Captain America",11.3,19.42,0
1408,"Spiderman",28.81,13.8,0
1409,"Ironman",25.7,16.6,0
1410,"Spiderman",26.61,11.8,1
1411,"Ironman",22.7,15.3,1
1412,"Spiderman",17.71,11.9,0
1413,"Ironman",22.2,16.1,1
1414,"Spiderman",29.21,15.1,0
1415,"Spiderman",23.71,13.9,0
1416,"Captain America",11.2,17.82,0
1417,"Captain America",11.5,22.42,1
1418,"Ironman",21.9,16.8,0
1419,"Ironman",21.2,16.9,1
1420,"Ironman",22.4,16.9,0
1421,"Captain America",11,20.42,1
1422,"Ironman",21.6,16.3,1
1423,"Spiderman",16.41,11.1,0
1424,"Captain America",11.9,16.72,1
1425,"Spiderman",23.21,14.8,1
1426,"Ironman",24,18.3,0
1427,"Spiderman",19.81,14.4,0
1428,"Spiderman",25.61,13.3,0
1429,"Ironman",14.8,17.7,0
1430,"Captain America",11.4,17.02,0
1431,"Captain America",11,14.12,1
1432,"Spiderman",29.71,14.6,1
1433,"Captain America",10.4,20.02,1
1434,"Ironman",21.9,17.1,0
1435,"Ironman",19.4,16.4,0
1436,"Spiderman",21.41,17.7,0
1437,"Spiderman",23.31,13.2,0
1438,"Captain America",11.1,16.82,1
1439,"Spiderman",25.11,13.4,1
1440,"Captain America",10.4,15.32,0
1441,"Captain America",10.8,15.32,1
1442,"Ironman",25.7,15.7,1
1443,"Captain America",10.9,19.42,0
1444,"Ironman",22.9,17.3,0
1445,"Ironman",22.3,17.4,1
1446,"Ironman",25.7,16.3,1
1447,"Ironman",26.2,17.9,0
1448,"Ironman",21.5,17.8,0
1449,"Captain America",11.3,14.12,1
1450,"Ironman",17.5,17.4,0
1451,"Spiderman",30.01,13.9,1
1452,"Ironman",25.4,17.4,0
1453,"Ironman",22.4,16.1,1
1454,"Spiderman",29.11,15,1
1455,"Captain America",10.7,19.92,0
1456,"Ironman",20.5,18.1,0
1457,"Captain America",10.8,21.12,0
1458,"Spiderman",25.61,12,1
1459,"Captain America",10.5,16.12,0
1460,"Spiderman",24.41,11.5,1
1461,"Spiderman",21.41,13.1,0
1462,"Captain America",12.1,16.32,0
1463,"Spiderman",29.71,13,1
1464,"Captain America",10.9,21.12,0
1465,"Spiderman",18.71,14,1
1466,"Ironman",24.2,17.5,0
1467,"Ironman",27.4,17.3,0
1468,"Spiderman",26.01,13.4,0
1469,"Spiderman",24.61,17.1,0
1470,"Captain America",10,17.62,0
1471,"Captain America",11.2,23.72,0
1472,"Spiderman",17.01,13.5,1
1473,"Captain America",10.8,17.42,1
1474,"Spiderman",27.71,13.8,1
1475,"Spiderman",20.41,13,1
1476,"Captain America",11.4,18.42,0
1477,"Spiderman",23.11,12.6,0
1478,"Ironman",21.5,16.7,1
1479,"Ironman",26.4,15.9,1
1480,"Spiderman",22.31,12.5,0
1481,"Captain America",10.8,20.62,0
1482,"Captain America",11.2,18.82,0
1483,"Ironman",21.9,16.2,1
1484,"Spiderman",28.01,14,0
1485,"Ironman",20.2,17.6,1
1486,"Ironman",24.4,16.8,1
1487,"Captain America",10.3,19.32,0
1488,"Captain America",11.1,15.62,0
1489,"Ironman",23.4,16.8,0
1490,"Captain America",10.5,19.62,1
1491,"Spiderman",21.81,14.6,0
1492,"Spiderman",25.71,10.8,0
1493,"Captain America",10.7,21.82,0
1494,"Captain America",10.6,19.92,0
1495,"Captain America",11.7,17.32,1
1496,"Spiderman",20.91,13.8,0
1497,"Ironman",26.3,14.3,1
1498,"Captain America",12.2,17.12,0
1499,"Spiderman",22.31,16.8,1
1500,"Spiderman",23.51,12.2,0
1501,"Ironman",19.3,16.3,1
1502,"Ironman",22.7,16.7,0
1503,"Spiderman",32.11,12.4,0
1504,"Spiderman",25.41,16.4,1
1505,"Spiderman",23.31,15.6,0
1506,"Spiderman",20.91,12.6,1
1507,"Ironman",20.4,15.6,0
1508,"Captain America",10.5,20.82,0
1509,"Spiderman",17.91,8.8,1
1510,"Captain America",11.1,19.92,0
1511,"Ironman",20.4,15.7,1
1512,"Captain America",11.1,20.02,0
1513,"Ironman",22.7,18,0
1514,"Ironman",22,16.9,0
1515,"Captain America",10.4,17.22,1
